network_enp0s3_rx,network_enp0s3_tx,network_enp0s3_cx,mem_active,mem_cached,mem_shared,cpu_system,cpu_softirq,cpu_ctx_switches,cpu_interrupts,cpu_soft_interrupts,%user,%idle,label
87000,87060,174060,2731913216,7699693568,4934995968,51.1,34.4,3654,7477,6860,14,0.5,normal
59498,59498,118996,2731913216,7699693568,4934995968,51.1,34.4,3654,7477,6860,14,0.5,normal
97920,97920,195840,2731913216,7699693568,4934995968,48.8,36.3,3735,7556,7083,14.8,0.1,normal
52560,52560,105120,2731913216,7699693568,4934995968,48.8,36.3,3735,7556,7083,14.8,0.1,normal
80760,80760,161520,2731917312,7699697664,4935000064,49.4,35.3,2961,6235,5694,15.2,0,normal
64440,64380,128820,2731917312,7699697664,4935000064,49.4,35.3,2961,6235,5694,15.2,0,normal
82260,82320,164580,2731917312,7699697664,4935000064,48.9,37,3270,7030,6394,13.9,0.3,normal
67860,67860,135720,2731917312,7699697664,4935000064,48.9,37,3270,7030,6394,13.9,0.3,normal
78300,78300,156600,2731917312,7699701760,4935004160,47.6,37.2,3019,6980,6375,14.9,0.4,normal
71012,70800,141812,2731917312,7699701760,4935004160,47.6,37.2,3019,6980,6375,14.9,0.4,normal
91344,91055,182399,2731921408,7699701760,4935004160,45.4,38.4,3974,7864,7131,15.8,0.3,normal
59760,59820,119580,2731921408,7699701760,4935004160,45.4,38.4,3974,7864,7131,15.8,0.3,normal
80220,80160,160380,2731925504,7699709952,4935012352,49.4,35.3,3189,6676,6211,14.7,0.5,normal
68824,68400,137224,2731925504,7699709952,4935012352,49.4,35.3,3189,6676,6211,14.7,0.5,normal
84900,84960,169860,2731929600,7699709952,4935012352,52,33.2,3476,7355,6832,14.1,0.7,normal
63060,63060,126120,2731929600,7699709952,4935012352,52,33.2,3476,7355,6832,14.1,0.7,normal
78840,78780,157620,2731929600,7699714048,4935016448,51.7,34,3119,6784,6267,14.2,0.1,normal
69038,68918,137956,2731929600,7699714048,4935016448,51.7,34,3119,6784,6267,14.2,0.1,normal
